Ticker,Description,Asset Class,Asset Subclass,,AC Module I/O,Desired Class,Sub Class,Notes
PJP,PowerShares Dynamic Pharmaceuticals,U.S. Equity,U.S. Healthcare Sector Equity ,PJP,US Equity,US Equity,,
PKW,PowerShares Buyback Achievers,U.S. Equity,U.S. All Cap Equity,PKW,US Equity,US Equity,,
PPH,Market Vectors Pharmaceutical ETF,U.S. Equity,U.S. Healthcare Sector Equity ,PPH,US Equity,US Equity,,
PRF,PowerShares FTSE RAFI US 1000 Portfolio,U.S. Equity,U.S. Large Cap Value Equity,PRF,US Equity,US Equity,,
PSP,ProShares Listed Private Equity,U.S. Equity,U.S. Financial Sector Equity,PSP,Intl Equity,Global Equity,,
PSQ,ProShares Short QQQ,U.S. Equity,U.S. Inverse Equity,PSQ,Alternative,Alternative,,
PWV,PowerShares Dynamic LargeCap Value,U.S. Equity,U.S. Large Cap Value Equity,PWV,US Equity,US Equity,,
PXH,PowerShares FTSE RAFI Emerging Markets Portfolio,Foreign Emerging Equity,Foreign Emerging Equity,PXH,Alternative,Foreign Equity,,
PZA,PowerShares Insured National Municipal Bond Portfolio,U.S. Fixed Income,U.S. Municipal Bond Fixed Income,PZA,Fixed Income,US Fixed Income,,
QQQ,QQQ,U.S. Equity,U.S. Large Cap Growth Equity,QQQ,US Equity,US Equity,,
REM,FTSE NAREIT Mortgage REITs Index Fund,Alternative,Alternative U.S. Real Estate Equity ,REM,Alternative,Alternative,,
RJA,ELEMENTS Rogers Intl Commodity Agric ETN,Alternative,Alternative Commodity Agriculture ,RJA,Alternative,Alternative,,
RJI,ELEMENTS Rogers Intl Commodity ETN,Alternative,Alternative Commodity ,RJI,Alternative,Alternative,,
RSP,Guggenheim S&P Equal Weight ETF,U.S. Equity,U.S. Large Cap Blend Equity,RSP,US Equity,US Equity,,
RSX,Market Vectors Russia ETF,Foreign Emerging Equity,Foreign Emerging Russia Equity,RSX,Fixed Income,Foreign Equity,,
RWM,ProShares Short Russell2000,U.S. Equity,U.S. Small Cap Inverse Equity ,RWM,Alternative,Alternative,,
RWO,SPDR DJ Wilshire Global Real Estate ETF,Alternative,Alternative Global Real Estate Equity,RWO,Alternative,Global Equity,,
RWR,SPDR DJ Wilshire REIT ETF,Alternative,Alternative U.S. Real Estate Equity ,RWR,Alternative,Alternative,,
RWX,SPDR DJ Wilshire Intl Real Estate,Alternative,Alternative Global Real Estate Equity,RWX,Alternative,Foreign Equity,,
SBB,ProShares Short SmallCap600,U.S. Equity,U.S. Small Cap Inverse Equity,SBB,Alternative,Alternative,,
SCHA,Schwab U.S. Small-Cap ETF,U.S. Equity,U.S. Small Cap Blend Equity,SCHA,US Equity,US Equity,,
SCHB,Schwab U.S. Broad Market ETF,U.S. Equity,U.S. All Cap Equity,SCHB,US Equity,US Equity,,
SCHD,Schwab US Dividend Equity ETF,U.S. Equity,U.S. All Cap Equity,SCHD,US Equity,US Equity,,
SCHE,Schwab Emerging Markets Equity ETF,Foreign Emerging Equity,Foreign Emerging Equity,SCHE,Alternative,Foreign Equity,,
SCHF,Schwab International Equity ETF,Global Equity,Global Large Cap Equity ,SCHF,Intl Equity,Foreign Equity,,
SCHG,Schwab U.S. Large-Cap Growth ETF,U.S. Equity,U.S. Large Cap Growth Equity,SCHG,US Equity,US Equity,,
SCHH,Schwab U.S. REIT ETF,Alternative,Alternative U.S. Real Estate Equity ,SCHH,Alternative,Alternative,,
SCHM,Schwab U.S. Mid-Cap ETF,U.S. Equity,U.S. Mid Cap Blend Equity ,SCHM,US Equity,US Equity,,
SCHV,Schwab U.S. Large-Cap Value ETF,U.S. Equity,U.S. Large Cap Value Equity,SCHV,US Equity,US Equity,,
SCHX,Schwab U.S. Large-Cap ETF,U.S. Equity,U.S. Large Cap Blend Equity,SCHX,US Equity,US Equity,,
SCIF,Market Vectors India Small-Cap Index ETF,Foreign Emerging Equity,Foreign Emerging India Small Cap Equity,SCIF,Fixed Income,Foreign Equity,,
SCZ,iShares MSCI EAFE Small Cap,Foreign Developed Equity,Foreign Developed Small & Mid Cap Equity,SCZ,Intl Equity,Foreign Equity,,
SDIV,Global X SuperDividend ETF,Global Equity,Global Equity ,SDIV,Intl Equity,Global Equity,,
SDOG,ALPS Sector Dividend Dogs ETF,U.S. Equity,U.S. Large Cap Value Equity,SDOG,US Equity,US Equity,,
SDY,SPDR S&P Dividend ETF,U.S. Equity,U.S. Large Cap Value Equity,SDY,US Equity,US Equity,,
SGOL,ETFS Physical Swiss Gold Shares,Alternative,Alternative Commodity Precious Metals ,SGOL,Alternative,Alternative,,
SH,ProShares Short S&P500,U.S. Equity,U.S. Large Cap Inverse Equity ,SH,US Equity,Alternative,,
SHM,SPDR Barclays Short Term Municipal Bond ETF,U.S. Fixed Income,U.S. Municipal Bond Fixed Income,SHM,Fixed Income,US Fixed Income,,
SHV,Barclays Short Treasury Bond Fund,U.S. Fixed Income,U.S. Government Bond Fixed Income,SHV,Fixed Income,US Fixed Income,,
SHY,Barclays 1-3 Year Treasury Bond Fund,U.S. Fixed Income,U.S. Government Bond Fixed Income,SHY,Fixed Income,US Fixed Income,,
SIL,Global X Silver Miners ETF,Alternative,Alternative Commodity Precious Metals ,SIL,Alternative,Global Equity,,
SIVR,ETFS Physical Silver Shares,Alternative,Alternative Commodity Precious Metals ,SIVR,Alternative,Alternative,,
SJNK,SPDR Barclays Capital Short Term High Yield Bond ETF,U.S. Fixed Income,U.S. High Yield Bond Fixed Income,SJNK,Intl Equity,US Fixed Income,,
SLV,iShares Silver Trust,Alternative,Alternative Commodity Precious Metals ,SLV,Alternative,Alternative,,
SMH,Market Vectors Semiconductor ETF,U.S. Equity,U.S. Technology Sector Equity ,SMH,US Equity,US Equity,,
SOXX,PHLX SOX Semiconductor Sector Index Fund,U.S. Equity,U.S. Technology Sector Equity ,SOXX,US Equity,US Equity,,
SPHB,PowerShares S&P 500 High Beta Portfolio,U.S. Equity,U.S. Large Cap Blend Equity,SPHB,Intl Equity,US Equity,,
SPLV,S&P 500 Low Volatility Portfolio,U.S. Equity,U.S. Large Cap Blend Equity,SPLV,US Equity,US Equity,,
SPY,SPDR S&P 500,U.S. Equity,U.S. Large Cap Blend Equity,SPY,US Equity,US Equity,,
STPZ,PIMCO 1-5 Year U.S. TIPS Index Fund,U.S. Fixed Income,U.S. Inflation-Protected Government Bond Fixed Income,STPZ,Fixed Income,US Fixed Income,,
SVXY,ProShares Short VIX Short-Term Futures ETF,Alternative,Alternative ST Volatility,SVXY,US Equity,Alternative,,
TAN,Guggenheim Solar ETF ,U.S. Equity,U.S. Energy Sector Equity ,TAN,Fixed Income,US Equity,,
TBF,ProShares Short 20+ Year Treasury,U.S. Fixed Income,U.S. Inverse Government Bond Fixed Income,TBF,Fixed Income,Alternative,,
TDTT,iBoxx 3-Year Target Duration TIPS Index Fund ,U.S. Fixed Income,U.S. Inflation-Protected Government Bond Fixed Income,TDTT,Fixed Income,US Fixed Income,,
TFI,SPDR Barclays Municipal Bond,U.S. Fixed Income,U.S. Municipal Bond Fixed Income,TFI,Fixed Income,US Fixed Income,,
THD,iShares MSCI Thailand Index Fund,Foreign Emerging Equity,Foreign Emerging Thailand Equity,THD,Alternative,Foreign Equity,,
TIP,Barclays TIPS Bond Fund,U.S. Fixed Income,U.S. Inflation-Protected Government Bond Fixed Income,TIP,Fixed Income,US Fixed Income,,
TLT,Barclays 20 Year Treasury Bond Fund,U.S. Fixed Income,U.S. Government Bond Fixed Income,TLT,Fixed Income,US Fixed Income,,
TUR,iShares MSCI Turkey Investable Market Index Fund,Foreign Emerging Equity,Foreign Emerging Turkey Equity,TUR,Alternative,Foreign Equity,,
UNG,USCF United States Natural Gas Fund LP,Alternative,Alternative Commodity Natural Gas,UNG,Fixed Income,Alternative,,
USMV,iShares MSCI USA Minimum Volatility Index Fund,U.S. Equity,U.S. All Cap Equity,USMV,US Equity,US Equity,,
USO,USCF United States Oil Fund,Alternative,Alternative Commodity Oil ,USO,Alternative,Alternative,,
UUP,PowerShares DB USD Index Bullish,Alternative,Alternative U.S. Currency ,UUP,Alternative,Alternative,,
VB,Vanguard Small-Cap ETF,U.S. Equity,U.S. Small Cap Blend Equity,VB,US Equity,US Equity,,
VBK,Vanguard Small-Cap Growth ETF,U.S. Equity,U.S. Small Cap Growth Equity ,VBK,US Equity,US Equity,,
VBR,Vanguard Small-Cap Value ETF,U.S. Equity,U.S. Small Cap Value Equity,VBR,US Equity,US Equity,,
VDC,Vanguard Consumer Staples ETF,U.S. Equity,U.S. Consumer Staples Sector Equity ,VDC,US Equity,US Equity,,
VEA,Vanguard Europe Pacific,Foreign Developed Equity,Foreign Developed Europe Equity,VEA,Intl Equity,Foreign Equity,,
VEU,Vanguard FTSE All World Ex US ETF,Global Equity,Global Foreign Equity,VEU,Intl Equity,Foreign Equity,,
VFH,Vanguard Financials ETF,U.S. Equity,U.S. Financial Sector Equity,VFH,US Equity,US Equity,,
VGK,FTSE Europe ETF,Foreign Developed Equity,Foreign Developed Europe Equity,VGK,Intl Equity,Foreign Equity,,
VGT,Vanguard Information Tech ETF,U.S. Equity,U.S. Technology Sector Equity ,VGT,US Equity,US Equity,,
VHT,Vanguard Health Care ETF,U.S. Equity,U.S. Healthcare Sector Equity ,VHT,US Equity,US Equity,,
VIG,Vanguard Dividend Appreciation ETF,U.S. Equity,U.S. Large Cap Value Equity,VIG,US Equity,US Equity,,
VIIX,VelocityShares VIX Short-Term ETN,Alternative,Alternative ST Volatility,VIIX,Alternative,Alternative,,
VIXY,ProShares VIX Short-Term Futures ETF,Alternative,Alternative ST Volatility,VIXY,Alternative,Alternative,,
VNM,Market Vectors Vietnam ETF,Foreign Emerging Equity,Foreign Emerging Vietnam Equity,VNM,Fixed Income,Foreign Equity,,
VNQ,Vanguard REIT ETF,Alternative,Alternative U.S. Real Estate Equity ,VNQ,Alternative,Alternative,,
VNQI,Vanguard Global ex-U.S. Real Estate Index Fund,Alternative,Alternative Global Foreign Real Estate Equity ,VNQI,Alternative,Foreign Equity,,
VO,Vanguard Mid-Cap ETF,U.S. Equity,U.S. Mid Cap Blend Equity ,VO,US Equity,US Equity,,
VOE,Vanguard Mid-Cap Value ETF,U.S. Equity,U.S. Mid Cap Value Equity ,VOE,US Equity,US Equity,,
VOO,Vanguard S&P 500 ETF,U.S. Equity,U.S. Large Cap Blend Equity,VOO,US Equity,US Equity,,
VPL,Vanguard FTSE Pacific ETF,Foreign Emerging Equity,Foreign Emerging Asia Pacific Equity,VPL,Intl Equity,Foreign Equity,,
VPU,Vanguard Utilities ETF,U.S. Equity,U.S. Utilites Sector Equity ,VPU,US Equity,US Equity,,
VT,Vanguard Total World Stock Index ETF,Global Equity,Global Equity,VT,US Equity,Global Equity,,
VTI,Vanguard Total Stock Market ETF,U.S. Equity,U.S. All Cap Equity,VTI,US Equity,US Equity,,
VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund,U.S. Fixed Income,U.S. Inflation-Protected Bond Fixed Income,VTIP,Alternative,US Fixed Income,,
VTV,VanguardValue ETF,U.S. Equity,U.S. Large Cap Value Equity,VTV,US Equity,US Equity,,
VUG,Vanguard Growth ETF,U.S. Equity,U.S. Large Cap Growth Equity,VUG,US Equity,US Equity,,
VV,Vanguard Large-Cap ETF,U.S. Equity,U.S. Large Cap Blend Equity,VV,US Equity,US Equity,,
VWO,Vanguard Emerging Markets ETF,Foreign Emerging Equity,Foreign Emerging Equity,VWO,Alternative,Foreign Equity,,
VXF,Vanguard Extended Market ETF,U.S. Equity,U.S. Mid Cap Blend Equity ,VXF,US Equity,US Equity,,
VXUS,Vanguard Total International Stock ETF,Global Equity,Global Foreign Equity,VXUS,Intl Equity,Foreign Equity,,
VXX,S&P 500 VIX Short-Term Futures ETN,Alternative,Alternative ST Volatility,VXX,Alternative,Alternative,,
VXZ,iPath S&P 500 VIX Mid-Term Futures ETN,Alternative,Alternative ST Volatility,VXZ,Alternative,Alternative,,
VYM,Vanguard High Dividend Yield ETF,U.S. Equity,U.S. Large Cap Value Equity,VYM,US Equity,US Equity,,
WIP,SPDR DB International Government Inflation-Protected Bond ETF,Global Fixed Income,Global Inflation-Protected Government Bond Fixed Income,WIP,Alternative,Foreign Fixed Income,,
XBI,SPDR S&P Biotech ETF,U.S. Equity,U.S. Healthcare Sector Equity ,XBI,US Equity,US Equity,,
XES,SPDR S&P Oil & Gas Equip & Service,U.S. Equity,U.S. Energy Sector Equity ,XES,Intl Equity,US Equity,,
XHB,SPDR Homebuilders ETF,Alternative,Alternative U.S. Homebuilding Equity ,XHB,US Equity,US Equity,,
XIV,Daily Inverse VIX Short-Term ETN,Alternative,Alternative ST Volatility,XIV,US Equity,Alternative,,
XLB,Materials Select Sector SPDR,U.S. Equity,U.S. Materials Sector Equity ,XLB,US Equity,US Equity,,
XLE,Energy Select Sector SPDR,U.S. Equity,U.S. Energy Sector Equity ,XLE,US Equity,US Equity,,
XLF,Financial Select Sector SPDR,U.S. Equity,U.S. Financial Sector Equity,XLF,US Equity,US Equity,,
XLI,Industrial Select Sector SPDR,U.S. Equity,U.S. Industrial Sector Equity ,XLI,US Equity,US Equity,,
XLK,Technology Select Sector SPDR,U.S. Equity,U.S. Technology Sector Equity ,XLK,US Equity,US Equity,,
XLP,Consumer Staples Select Sector SPDR,U.S. Equity,U.S. Consumer Staples Sector Equity ,XLP,US Equity,US Equity,,
XLU,Utilities Select Sector SPDR,U.S. Equity,U.S. Utilites Sector Equity ,XLU,Alternative,US Equity,,
XLV,Health Care Select Sector SPDR,U.S. Equity,U.S. Healthcare Sector Equity ,XLV,US Equity,US Equity,,
XLY,Consumer Discretionary Select Sector SPDR,U.S. Equity,U.S. Consumer Discretionary Sector Equity ,XLY,US Equity,US Equity,,
XME,SPDR S&P Metals & Mining ETF,Alternative,Alternative Commodity Precious Metals ,XME,Fixed Income,US Equity,,
XOP,SPDR S&P Oil & Gas Explor & Product,U.S. Equity,U.S. Materials Sector Oil Equity,XOP,US Equity,US Equity,,
XRT,SPDR S&P Retail ETF,U.S. Equity,U.S. Consumer Discretionary Sector Equity ,XRT,US Equity,US Equity,,
YMLP,Yorkville High Income MLP ETF,Alternative,Alternative U.S. MLP Equity,YMLP,US Equity,Alternative,,
ZIV,VelocityShares Daily Inverse VIX Medium-Term ETN,Alternative,Alternative ST Volatility,ZIV,US Equity,Alternative,,
