Ticker,Description,Exact Class,Asset Class,Asset Subclass,,AC Module I/O
PXH,PowerShares FTSE RAFI Emerging Markets Portfolio,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Equity,PXH,Alternative
PZA,PowerShares Insured National Municipal Bond Portfolio,US Fixed Income,U.S. Fixed Income,U.S. Municipal Bond Fixed Income,PZA,Fixed Income
QQQ,QQQ,US Equity,U.S. Equity,U.S. Large Cap Growth Equity,QQQ,US Equity
REM,FTSE NAREIT Mortgage REITs Index Fund,Alternative,Alternative,Alternative U.S. Real Estate Equity ,REM,Alternative
RJA,ELEMENTS Rogers Intl Commodity Agric ETN,Alternative,Alternative,Alternative Commodity Agriculture ,RJA,Alternative
RJI,ELEMENTS Rogers Intl Commodity ETN,Alternative,Alternative,Alternative Commodity ,RJI,Alternative
RSP,Guggenheim S&P Equal Weight ETF,US Equity,U.S. Equity,U.S. Large Cap Blend Equity,RSP,US Equity
RSX,Market Vectors Russia ETF,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Russia Equity,RSX,Fixed Income
RWM,ProShares Short Russell2000,Alternative,U.S. Equity,U.S. Small Cap Inverse Equity ,RWM,Alternative
RWO,SPDR DJ Wilshire Global Real Estate ETF,Global Equity,Alternative,Alternative Global Real Estate Equity,RWO,Alternative
RWR,SPDR DJ Wilshire REIT ETF,Alternative,Alternative,Alternative U.S. Real Estate Equity ,RWR,Alternative
RWX,SPDR DJ Wilshire Intl Real Estate,Foreign Equity,Alternative,Alternative Global Real Estate Equity,RWX,Alternative
SBB,ProShares Short SmallCap600,Alternative,U.S. Equity,U.S. Small Cap Inverse Equity,SBB,Alternative
SCHA,Schwab U.S. Small-Cap ETF,US Equity,U.S. Equity,U.S. Small Cap Blend Equity,SCHA,US Equity
SCHB,Schwab U.S. Broad Market ETF,US Equity,U.S. Equity,U.S. All Cap Equity,SCHB,US Equity
SCHD,Schwab US Dividend Equity ETF,US Equity,U.S. Equity,U.S. All Cap Equity,SCHD,US Equity
SCHE,Schwab Emerging Markets Equity ETF,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Equity,SCHE,Alternative
SCHF,Schwab International Equity ETF,Foreign Equity,Global Equity,Global Large Cap Equity ,SCHF,Intl Equity
SCHG,Schwab U.S. Large-Cap Growth ETF,US Equity,U.S. Equity,U.S. Large Cap Growth Equity,SCHG,US Equity
SCHH,Schwab U.S. REIT ETF,Alternative,Alternative,Alternative U.S. Real Estate Equity ,SCHH,Alternative
SCHM,Schwab U.S. Mid-Cap ETF,US Equity,U.S. Equity,U.S. Mid Cap Blend Equity ,SCHM,US Equity
SCHV,Schwab U.S. Large-Cap Value ETF,US Equity,U.S. Equity,U.S. Large Cap Value Equity,SCHV,US Equity
SCHX,Schwab U.S. Large-Cap ETF,US Equity,U.S. Equity,U.S. Large Cap Blend Equity,SCHX,US Equity
SCIF,Market Vectors India Small-Cap Index ETF,Foreign Equity,Foreign Emerging Equity,Foreign Emerging India Small Cap Equity,SCIF,Fixed Income
SCZ,iShares MSCI EAFE Small Cap,Foreign Equity,Foreign Developed Equity,Foreign Developed Small & Mid Cap Equity,SCZ,Intl Equity
SDIV,Global X SuperDividend ETF,Global Equity,Global Equity,Global Equity ,SDIV,Intl Equity
SDOG,ALPS Sector Dividend Dogs ETF,US Equity,U.S. Equity,U.S. Large Cap Value Equity,SDOG,US Equity
SDY,SPDR S&P Dividend ETF,US Equity,U.S. Equity,U.S. Large Cap Value Equity,SDY,US Equity
SGOL,ETFS Physical Swiss Gold Shares,Alternative,Alternative,Alternative Commodity Precious Metals ,SGOL,Alternative
SH,ProShares Short S&P500,Alternative,U.S. Equity,U.S. Large Cap Inverse Equity ,SH,US Equity
SHM,SPDR Barclays Short Term Municipal Bond ETF,US Fixed Income,U.S. Fixed Income,U.S. Municipal Bond Fixed Income,SHM,Fixed Income
SHV,Barclays Short Treasury Bond Fund,US Fixed Income,U.S. Fixed Income,U.S. Government Bond Fixed Income,SHV,Fixed Income
SHY,Barclays 1-3 Year Treasury Bond Fund,US Fixed Income,U.S. Fixed Income,U.S. Government Bond Fixed Income,SHY,Fixed Income
SIL,Global X Silver Miners ETF,Global Equity,Alternative,Alternative Commodity Precious Metals ,SIL,Alternative
SIVR,ETFS Physical Silver Shares,Alternative,Alternative,Alternative Commodity Precious Metals ,SIVR,Alternative
SJNK,SPDR Barclays Capital Short Term High Yield Bond ETF,US Fixed Income,U.S. Fixed Income,U.S. High Yield Bond Fixed Income,SJNK,Intl Equity
SLV,iShares Silver Trust,Alternative,Alternative,Alternative Commodity Precious Metals ,SLV,Alternative
SMH,Market Vectors Semiconductor ETF,US Equity,U.S. Equity,U.S. Technology Sector Equity ,SMH,US Equity
SOXX,PHLX SOX Semiconductor Sector Index Fund,US Equity,U.S. Equity,U.S. Technology Sector Equity ,SOXX,US Equity
SPHB,PowerShares S&P 500 High Beta Portfolio,US Equity,U.S. Equity,U.S. Large Cap Blend Equity,SPHB,Intl Equity
SPLV,S&P 500 Low Volatility Portfolio,US Equity,U.S. Equity,U.S. Large Cap Blend Equity,SPLV,US Equity
SPY,SPDR S&P 500,US Equity,U.S. Equity,U.S. Large Cap Blend Equity,SPY,US Equity
STPZ,PIMCO 1-5 Year U.S. TIPS Index Fund,US Fixed Income,U.S. Fixed Income,U.S. Inflation-Protected Government Bond Fixed Income,STPZ,Fixed Income
SVXY,ProShares Short VIX Short-Term Futures ETF,Alternative,Alternative,Alternative ST Volatility,SVXY,US Equity
TAN,Guggenheim Solar ETF ,US Equity,U.S. Equity,U.S. Energy Sector Equity ,TAN,Fixed Income
TBF,ProShares Short 20+ Year Treasury,Alternative,U.S. Fixed Income,U.S. Inverse Government Bond Fixed Income,TBF,Fixed Income
TDTT,iBoxx 3-Year Target Duration TIPS Index Fund ,US Fixed Income,U.S. Fixed Income,U.S. Inflation-Protected Government Bond Fixed Income,TDTT,Fixed Income
TFI,SPDR Barclays Municipal Bond,US Fixed Income,U.S. Fixed Income,U.S. Municipal Bond Fixed Income,TFI,Fixed Income
THD,iShares MSCI Thailand Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Thailand Equity,THD,Alternative
TIP,Barclays TIPS Bond Fund,US Fixed Income,U.S. Fixed Income,U.S. Inflation-Protected Government Bond Fixed Income,TIP,Fixed Income
TLT,Barclays 20 Year Treasury Bond Fund,US Fixed Income,U.S. Fixed Income,U.S. Government Bond Fixed Income,TLT,Fixed Income
TUR,iShares MSCI Turkey Investable Market Index Fund,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Turkey Equity,TUR,Alternative
UNG,USCF United States Natural Gas Fund LP,Alternative,Alternative,Alternative Commodity Natural Gas,UNG,Fixed Income
USMV,iShares MSCI USA Minimum Volatility Index Fund,US Equity,U.S. Equity,U.S. All Cap Equity,USMV,US Equity
USO,USCF United States Oil Fund,Alternative,Alternative,Alternative Commodity Oil ,USO,Alternative
UUP,PowerShares DB USD Index Bullish,Alternative,Alternative,Alternative U.S. Currency ,UUP,Alternative
VB,Vanguard Small-Cap ETF,US Equity,U.S. Equity,U.S. Small Cap Blend Equity,VB,US Equity
VBK,Vanguard Small-Cap Growth ETF,US Equity,U.S. Equity,U.S. Small Cap Growth Equity ,VBK,US Equity
VBR,Vanguard Small-Cap Value ETF,US Equity,U.S. Equity,U.S. Small Cap Value Equity,VBR,US Equity
VDC,Vanguard Consumer Staples ETF,US Equity,U.S. Equity,U.S. Consumer Staples Sector Equity ,VDC,US Equity
VEA,Vanguard Europe Pacific,Foreign Equity,Foreign Developed Equity,Foreign Developed Europe Equity,VEA,Intl Equity
VEU,Vanguard FTSE All World Ex US ETF,Foreign Equity,Global Equity,Global Foreign Equity,VEU,Intl Equity
VFH,Vanguard Financials ETF,US Equity,U.S. Equity,U.S. Financial Sector Equity,VFH,US Equity
VGK,FTSE Europe ETF,Foreign Equity,Foreign Developed Equity,Foreign Developed Europe Equity,VGK,Intl Equity
VGT,Vanguard Information Tech ETF,US Equity,U.S. Equity,U.S. Technology Sector Equity ,VGT,US Equity
VHT,Vanguard Health Care ETF,US Equity,U.S. Equity,U.S. Healthcare Sector Equity ,VHT,US Equity
VIG,Vanguard Dividend Appreciation ETF,US Equity,U.S. Equity,U.S. Large Cap Value Equity,VIG,US Equity
VIIX,VelocityShares VIX Short-Term ETN,Alternative,Alternative,Alternative ST Volatility,VIIX,Alternative
VIXY,ProShares VIX Short-Term Futures ETF,Alternative,Alternative,Alternative ST Volatility,VIXY,Alternative
VNM,Market Vectors Vietnam ETF,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Vietnam Equity,VNM,Fixed Income
VNQ,Vanguard REIT ETF,Alternative,Alternative,Alternative U.S. Real Estate Equity ,VNQ,Alternative
VNQI,Vanguard Global ex-U.S. Real Estate Index Fund,Foreign Equity,Alternative,Alternative Global Foreign Real Estate Equity ,VNQI,Alternative
VO,Vanguard Mid-Cap ETF,US Equity,U.S. Equity,U.S. Mid Cap Blend Equity ,VO,US Equity
VOE,Vanguard Mid-Cap Value ETF,US Equity,U.S. Equity,U.S. Mid Cap Value Equity ,VOE,US Equity
VOO,Vanguard S&P 500 ETF,US Equity,U.S. Equity,U.S. Large Cap Blend Equity,VOO,US Equity
VPL,Vanguard FTSE Pacific ETF,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Asia Pacific Equity,VPL,Intl Equity
VPU,Vanguard Utilities ETF,US Equity,U.S. Equity,U.S. Utilites Sector Equity ,VPU,US Equity
VT,Vanguard Total World Stock Index ETF,Global Equity,Global Equity,Global Equity,VT,US Equity
VTI,Vanguard Total Stock Market ETF,US Equity,U.S. Equity,U.S. All Cap Equity,VTI,US Equity
VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund,US Fixed Income,U.S. Fixed Income,U.S. Inflation-Protected Bond Fixed Income,VTIP,Alternative
VTV,VanguardValue ETF,US Equity,U.S. Equity,U.S. Large Cap Value Equity,VTV,US Equity
VUG,Vanguard Growth ETF,US Equity,U.S. Equity,U.S. Large Cap Growth Equity,VUG,US Equity
VV,Vanguard Large-Cap ETF,US Equity,U.S. Equity,U.S. Large Cap Blend Equity,VV,US Equity
VWO,Vanguard Emerging Markets ETF,Foreign Equity,Foreign Emerging Equity,Foreign Emerging Equity,VWO,Alternative
VXF,Vanguard Extended Market ETF,US Equity,U.S. Equity,U.S. Mid Cap Blend Equity ,VXF,US Equity
VXUS,Vanguard Total International Stock ETF,Foreign Equity,Global Equity,Global Foreign Equity,VXUS,Intl Equity
VXX,S&P 500 VIX Short-Term Futures ETN,Alternative,Alternative,Alternative ST Volatility,VXX,Alternative
VXZ,iPath S&P 500 VIX Mid-Term Futures ETN,Alternative,Alternative,Alternative ST Volatility,VXZ,Alternative
VYM,Vanguard High Dividend Yield ETF,US Equity,U.S. Equity,U.S. Large Cap Value Equity,VYM,US Equity
WIP,SPDR DB International Government Inflation-Protected Bond ETF,Foreign Fixed Income,Global Fixed Income,Global Inflation-Protected Government Bond Fixed Income,WIP,Alternative
XBI,SPDR S&P Biotech ETF,US Equity,U.S. Equity,U.S. Healthcare Sector Equity ,XBI,US Equity
XES,SPDR S&P Oil & Gas Equip & Service,US Equity,U.S. Equity,U.S. Energy Sector Equity ,XES,Intl Equity
XHB,SPDR Homebuilders ETF,US Equity,Alternative,Alternative U.S. Homebuilding Equity ,XHB,US Equity
XIV,Daily Inverse VIX Short-Term ETN,Alternative,Alternative,Alternative ST Volatility,XIV,US Equity
XLB,Materials Select Sector SPDR,US Equity,U.S. Equity,U.S. Materials Sector Equity ,XLB,US Equity
XLE,Energy Select Sector SPDR,US Equity,U.S. Equity,U.S. Energy Sector Equity ,XLE,US Equity
XLF,Financial Select Sector SPDR,US Equity,U.S. Equity,U.S. Financial Sector Equity,XLF,US Equity
XLI,Industrial Select Sector SPDR,US Equity,U.S. Equity,U.S. Industrial Sector Equity ,XLI,US Equity
XLK,Technology Select Sector SPDR,US Equity,U.S. Equity,U.S. Technology Sector Equity ,XLK,US Equity
XLP,Consumer Staples Select Sector SPDR,US Equity,U.S. Equity,U.S. Consumer Staples Sector Equity ,XLP,US Equity
XLU,Utilities Select Sector SPDR,US Equity,U.S. Equity,U.S. Utilites Sector Equity ,XLU,Alternative
XLV,Health Care Select Sector SPDR,US Equity,U.S. Equity,U.S. Healthcare Sector Equity ,XLV,US Equity
XLY,Consumer Discretionary Select Sector SPDR,US Equity,U.S. Equity,U.S. Consumer Discretionary Sector Equity ,XLY,US Equity
XME,SPDR S&P Metals & Mining ETF,US Equity,Alternative,Alternative Commodity Precious Metals ,XME,Fixed Income
XOP,SPDR S&P Oil & Gas Explor & Product,US Equity,U.S. Equity,U.S. Materials Sector Oil Equity,XOP,US Equity
XRT,SPDR S&P Retail ETF,US Equity,U.S. Equity,U.S. Consumer Discretionary Sector Equity ,XRT,US Equity
YMLP,Yorkville High Income MLP ETF,Alternative,Alternative,Alternative U.S. MLP Equity,YMLP,US Equity
ZIV,VelocityShares Daily Inverse VIX Medium-Term ETN,Alternative,Alternative,Alternative ST Volatility,ZIV,US Equity
AOR,ishares Growth Allocation,Multi-Class,Multi-Class,,AOR,
AOM,ishares Moderate Allocation,Multi-Class,Multi-Class,,AOM,
GAL,SPDR SSgA Global Allocation ETF,Multi-Class,Multi-Class,,GAL,
IJNK,SPDR Barclays International High Yield Bond ETF,Foreign Fixed Income,Foreign Fixed Income,,IJNK,
RLY,SPDR SSgA Multi-Asset Real Return ETF,Multi-Class,Multi-Class,,RLY,
INKM,SPDR SSgA Income Allocation ETF,Multi-Class,Multi-Class,,INKM,
TZV,Ishares S&P Target Date 2040 Fund,Multi-Class,Multi-Class,,,
TZO,Ishares S&P Target Date 2035 Fund,Multi-Class,Multi-Class,,,
AOA,ishares Aggressive Allocation,Multi-Class,Multi-Class,,,
TZD,Ishares S&P Target Date 2010 Fund,Multi-Class,Multi-Class,,,
TZE,Ishares S&P Target Date 2015 Fund,Multi-Class,Multi-Class,,,
AOK,Ishares Conservative Allocation,Multi-Class,Multi-Class,,,
GTAA,Cambria Global Tactical Allocation Fund,Multi-Class,Multi-Class,,,
